dstMac,srcMac,IPType,version,header length,type of service,total length,header identification,others and fragment offset,time to live,type of protocol,header checksum,src IP address,dst IP address
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,0,16384,37,6,53368,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,1,16384,37,6,53367,183.134.25.12,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,60,0,16384,64,6,47716,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,0,16384,37,6,53368,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,1,16384,37,6,53367,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,2,16384,37,6,53366,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,0,16384,37,6,53368,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,1,16384,37,6,53367,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,2,16384,37,6,53366,183.134.25.12,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,0,16384,37,6,53368,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,1,16384,37,6,53367,183.134.25.12,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,2,16384,37,6,53366,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,3,16384,37,6,53365,183.134.25.12,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,4,16384,37,6,53364,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,5,16384,37,6,53363,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,6,16384,37,6,53362,183.134.25.12,172.30.3.167
f0:18:98:50:8d:e9,00:90:27:e1:a0:79,0800,4,5,0,1320,7,16384,37,6,53361,183.134.25.12,172.30.3.167
00:90:27:e1:a0:79,f0:18:98:50:8d:e9,0800,4,5,0,52,0,16384,64,6,47724,172.30.3.167,183.134.25.12
